"session","created","modified","ended","expired","code","pid_nr","class_start","ref_norm","refnorm_open_t1","random_refnorm_sentence_t1_class1","random_refnorm_sentence_t1_class2","refnorm_rank_t1","refnorm_open_t2","random_refnorm_sentence_t2_class1","random_refnorm_sentence_t2_class2","refnorm_rank_t2","student1","student2","student3","student4","student5","student6","student7","student8","student9","inf_cons","age","gender","exp","subjects","subject_deutsch"
"nH33qvyMUZK4Ft4da3c8GXOUT9zU1MB4tiERH0Y4TT8R0v-K8_cgJI_sl1JCU-Ff","2022-04-27 14:57:20","2022-04-27 15:49:45","2022-04-27 15:49:45","","336","36","1","s","Frau Maier versucht einen Überblick über den Leistungsstand Ihrer Klasse zu erhalten. Diese Werte/Punktzahlen können mit Werten von Vergleichsgruppen verglichen werden und ermöglichen somit einen Einblick darüber in welchem Kompetenzbereich der entsprechende Klasse entspricht, wo Schwierigkeiten liegen, in welchem Bereich gefördert werden kann. ","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","3","Frau Knoll erhält den Überblick  wie sich die SuS. entwickeln in den letzten Wochen entwickelt haben. Besondere Aufmerksamkeit erhält meines Erachtens der Schüler, der in Woche 4 nicht den Werten der mittleren Vergleichsgruppe entspricht und nur zwischen 300 -400 Punkt erreichte. Aber auch die Entwicklung, dass in Woche acht  2 Schüler unter den 500 Punkten liegen.","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","3","plus2","minus4","plus4","null","plus3","minus4","minus2","plus3","minus3","2","","","","",""
"N4WeD4CDUrfFb9zurhJdK6RJDrWpP1fn01LQOI09BCM0kiBaxeCI4MhPSUJb1Kyp","2022-04-27 16:56:19","2022-04-28 13:55:42","2022-04-28 13:55:42","","323","37","2","s","von Woche 4 auf Woche 6 minimale Veränderungen. In Woche 6 im Vergleich zu Woche 4 jedoch ein/e Lernende/r deutlich abgesackt. Generell aber ein allgemeiner Anstieg der Kompetenz zu erkennen. In Woche 8 kommt es zu einer Ballung auf einem niedrigeren Kompetenzniveaus, sehr gute SuS mit Kompetenz in Stufe 10 gibt es nicht mehr.","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","3","in Woche 4 sind die in vielen unterschiedlichen Kompetenzstufen. alle liegen aber noch innerhalb der erreichten Kompetenzstufen mit der Vergleichsgruppe. In Woche 6 alle SuS in deutlich höherer Kompetenzstufe Stufe 7/8. In Woche 8 wieder absinken der Kompetenzstufen einiger SuS.","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","1","minus1","null","minus1","null","plus1","plus1","plus1","null","null","1","3","1","2","1, 2","1"
"RA4UKN9lVNNG9CUVJHXM3yzvDEBCUUdEeYbfwxcuzSrSpAF5NxDcFBwRbGGPSmEd","2022-04-27 17:02:06","","","","307","38","1","i","","","","","","","","","","","","","","","","","","","","","","",""
"1p4WGbI2XFGJPNsmK716GUfVcdNn6FljYJmiQGgqQ6WbsTkq7TaT1UZfU95PsrS0","2022-04-27 17:02:08","","","","","39","1","s","","","","","","","","","","","","","","","","","","","","","","",""
"2Q4R1UjFz-7_ObkYZ7kKqZUGMPJarCZc911ZXq9LR1dO3wfDhdUm3EBCzlHnA5yJ","2022-04-27 17:50:24","2022-05-02 22:41:27","","","338","40","1","c","","","","","","","","","","","","","","","","","","","","","","",""
"goXw7z5-Ld2VwgssKnHVKYGzNHi79ZiLBoukTIKxQedyb5Udf0LO_3dPY6lqMUu8","2022-04-27 20:29:30","2022-04-27 20:48:26","2022-04-27 20:48:26","","436","41","1","s","Es gibt immer ein paar wenige unterdurchschnittlich schlechte Schüler. Bei den überdurchschnittlich guten Schülern sind es mehr. Es gibt eine sehr ausgeprägte Mitte. In Woche  6 waren die Schüler tendenziell besser im Vergleich zu den anderen Wochen und haben auch öfter unter sich diesselbe Punktzahl erreicht. Sie sind aber ein wenig besser als ihre Vergleichsgruppe.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","3","Ein paar Schüler schneiden sehr unterdurchschnittlich ab. Wirklich überragende Schüler gibt es nicht. Die Punkte sind bis auf Woche 8 ziemlich verstreut.","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","2","plus2","minus3","plus4","null","plus3","minus4","null","plus3","minus3","1","1","1","1","1, 3","2"
"-q4yX4iJQFFTKNx4RG93FwEa9JZuh1LmMHjSWfdmzeJMa-h-bbusLA6n2sr9j87O","2022-04-28 14:07:55","2022-04-28 14:24:30","2022-04-28 14:24:30","","319","42","2","i","Eine zentrale Information ist, dass keine allgemeine Verbesserung der Klasse über den Zeitraum von 4 Wochen erreicht wird. 
In der vierten Woche ist das Kompetenzniveau der Klasse sehr gestreut und ungleichmäßig. In der achten Woche ist befindet sich die ganze Klasse (außer zwei Sonderfälle) zwischen 600 und 900 Punkten. 
Auf der anderen Seite muss man aber auch beachten, dass die drei stärksten SuS sich leicht verschlechtert haben.","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","3","Die ganze Klasse befindet sich bereits nach Woche 5 über dem Grundanspruch der Klasse 6 und nur 2 SuS befinden sich nach Woche 8 unter dem Grundanspruch nach Klasse 9. 
Viele der SuS haben sich verbessert, aber viele haben sich auch verschlechtert. 
","Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","3","plus1","minus2","plus2","minus1","plus4","plus2","plus2","plus3","minus3","1","1","2","1","2, 4",""
"eKNpcf-3sgvJ3BNQeTxGPohJzW9zvXa1OGPyDY7qOKKnOiHlU6MVIrmBnJrM_kwq","2022-04-28 14:33:12","2022-04-28 14:41:46","2022-04-28 14:41:46","","293","43","1","i","Das sich zu beginn die Schüler verbessert haben (sie sind Stufen aufgestiegen), aber das viele danach auch wieder abgestiegen sind. Muster von Beibringen - Behalten - und wieder vergessen","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","3","Das sich die meisten Kinder verschlechtert haben, es gab nur wenige Ausnahmen ","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","1","plus2","null","plus3","plus3","plus3","plus2","plus2","plus4","plus3","1","1","1","1","1","1"
"X3OBqr08u-9sE_tcroGXsmJruFBgU0hidkn9juT8atmQlLU1ScGj-feae3UHJ_5V","2022-04-29 01:01:54","2022-05-01 19:35:12","2022-05-01 19:35:12","","320","44","1","c","- Kein Schüler befindet sich unter Stufe 5.
","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","2","Acht Schüler haben in der 8.Klasse nicht denn Grundanspruch erreicht der beirets in der 6.Klasse vorhanden sein sollte.","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","1","minus3","minus2","minus1","null","plus4","minus2","plus3","plus4","minus4","1","2","1","2","2, 4",""
"GSFtflbjCvI65Dzk63uu72iVhwOYadsb4Yv1Ul7WSgU1Q7vvPhvWMlI5e1VQhVDE","2022-04-29 01:02:20","","","","320","45","2","c","","","","","","","","","","","","","","","","","","","","","","",""
"W07Yh6stjDdKeLlMCDP8I4cMeYFZ5Mj8rCGhgB7F7Se3pl3bpOTBz9EyW2L543JK","2022-04-29 01:02:54","2022-04-29 01:03:18","","","320","46","2","c","","","","","","","","","","","","","","","","","","","","","","",""
"fMs60hFtiueVIG5Q4hazBtGksaV-2MnwLoJASYO-tSDoue9OMQ_MZNndyGjC2L0M","2022-04-29 07:03:20","","","","228","47","2","c","","","","","","","","","","","","","","","","","","","","","","",""
"shyPoodleXXXelnrTBPbLTrv18qsHGZYN4TtI-gR1s83GIce1pghuIy5OjCXa0Mk","2022-04-29 07:06:42","","","","shyPoodleXXXelnrTBPbLTrv18qsHGZYN4TtI-gR1s83GIce1pghuIy5OjCXa0Mk","49","1","i","","","","","","","","","","","","","","","","","","","","","","",""
"zealousFousekXXXGgk9N3S5C-N0a9BkCxRA758cUVwzhSD1ktjMdSK58uilEtDc","2022-04-29 07:06:43","2022-04-29 07:09:18","2022-04-29 07:09:18","","zealousFousekXXXGgk9N3S5C-N0a9BkCxRA758cUVwzhSD1ktjMdSK58uilEtDc","49","2","i","sadsd","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","1","asd asdf asdf ","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","2","minus2","plus1","minus2","plus3","plus2","minus4","plus1","plus3","minus5","1","3","3","2","1","1"
"jf5C65ZrFbvr_f7xY4Zz7KySVt_hrH10Dwg-ZfTEg2EgiWvPqUSkrEBXF9cV7gk2","2022-04-29 11:22:35","2022-04-29 11:32:21","2022-04-29 11:32:21","","288","50","2","c","Im Laufe der Wochen werden die SuS eine annähernd homogene Gruppe. Einige SuS haben sich zwar in ihren Kompetenzen gesteigert, andere wieder rum wurden schwächer.","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","2","Die Mehrheit der Klasse liegt über dem Grundanspruch, welcher für die Klassenstufe 9 angesehen wird.","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","1","minus3","null","minus3","null","plus3","plus3","plus3","null","minus3","1","2","1","2","2",""
"SFYwRv7Dpkzr8PKZM2Ormyhq7WE0AxUWjOqvmEZ-peFhOJdw0xCSYyeh8AwvLv2W","2022-04-29 11:49:19","2022-04-29 12:16:04","2022-04-29 12:16:04","","381","51","1","i","Frau Maiers Klasse weist bei der ersten Testung sehr verschiedene Ergebnisse auf. Leistungsstarke SchülerInnen scheinen wenig Unterstützung zu brauchen um gute Ergebnisse zu erzielen, also auf einer hohen Stufe zu landen. Wahrscheinlich hat Frau Maier dann gezielt mit ihrer Klasse geübt bis zu zweiten Testung. Hier sind die Ergebnisse natürlich noch unterschiedlich aber man sieht deutliche Verbesserungen. Kein Schüler befindet sich mehr unter 800 Punkten oder unter Stufe 8. Damit erreichen die Schüler hier alle den Grundanspruch für Klasse 9. Die dritte Messung ist wieder ein bisschen schlechter für einzelne Schüler, Wahrscheinlich ist nicht mehr konkret davor geübt worden, die Schüler haben spezifisches Wissen vergessen oder nicht mehr als relevant erachtet. Allerdings hat Frau Maier zur ersten Messung trotzdem eine Verbesserung erreicht. Eine weitere Wiederholung würde bestimmt eine bessere vierte Messung hervorrufen.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","1","Zentral ist hier, dass die Lernstände und die Leistungszuwachse und -verluste der einzelnen Schüler zu sehen sind. Frau Knolle hat nun die Chance individuell zu fördern und zu beobachten welche/r SchülerIn wo Probleme hat und sich beispielsweise verschlechtert hat. Sollte sie feststellen, dass wenige SchülerInnen einen Leistungszuwachs erzielen, kann sie so auch ihren eigenen Unterricht verbessern und vielleicht andere Methoden anwenden mit den ihre Klasse besser lernt.","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","1","plus1","minus4","plus4","null","plus2","minus5","minus1","plus3","minus3","1","1","1","1","1, 2","1"
"fhHe4btsxuKmyT9iOK4xcm_B7R61gjF6u-70HmzpCYB__UFVtRrTgtJwPIkoXIU1","2022-04-29 17:35:18","2022-04-29 17:46:15","2022-04-29 17:46:15","","313","52","2","s","Die Grafik zeigt dass nach von Woche zu Woche immer mehr Punkte nach oben wandern, was bedeutet, dass mehr Schüler mehr Punkte erreichen. 
Sie zeigt aber auch, dass die vereinzelten Schüler die anfangs noch ganz oben im Bereich waren das nun nicht mehr sind und ein wenig nach unten gewandert sind. 
Es gibt also ein ""Zusammentreffen der Punkte"" was zeigt, dass die Schüler auf einen gemeinsamen Wissensstand gebracht wurden.","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","1","Die Grafik zeigt, dass sich die Klasse im oberen Bereich befindet. Sie ist also im Durchschnitt besser als die Vergleichsgruppe.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","3","plus1","minus4","plus3","null","plus1","minus5","null","plus2","minus4","1","2","1","1","2, 4",""
"kKX_EAfUrFptXkwot83R4lMfqkalhO16eVfGjUsByd-iP0XRlo10vhjo96izAjON","2022-04-29 22:17:01","2022-04-29 22:37:48","2022-04-29 22:37:48","","441","53","2","i","In der 8. Woche haben sich sozusagen 3 Gruppen gebildet. 5 sind zwischen 800-900. 4 sind zwischen 600-700. 2 sind unter 550.","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","3","Die meisten Schüler, die sich in der 6. Woche verbessert hatten, haben sich in der 8. Woche wieder verschlechtert.","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","1","minus2","null","minus1","null","plus2","plus2","plus2","null","minus2","2","","","","",""
"oj0B8KHQD4nYnAZR5nHIBISK5uNvDT253s7an12XqP2e2ARBNRCh82rT-rivrWge","2022-04-30 15:02:59","2022-04-30 15:38:46","2022-04-30 15:38:46","","362","54","2","c","Die Leistung einiger SuS scheint zu Woche 8 abgenommen zu haben. 
 Die Gesamtleistung aller SuS im Schnitt scheint jedoch über den überprüften Zeitraum anzusteigen.
Da die meisten SuS zwischen 600 und 900 Punkten liegen erfüllen die meisten die Anforderung der 8. Klasse.","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","3","Der meiste Teil der SuS liegt sogar über dem für die 8. Klasse veranschlagten Leistungsbereich.
Die SuS die das Niveau in Woche 8noch nicht erreicht haben, haben sich aber in den vier Wochen zuvor verbessert und dem Niveau angenähert bzw. es zwischenzeitlich erreicht.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","3","minus2","minus1","minus1","plus1","plus3","plus1","plus2","plus2","minus2","1","1","1","1","1, 2","1"
"eeXMsyBhuhiWTduH2Wlk_g4isU_YraB0OwHWF29ArJ1wWYpKr6rVL8P7tVdDIbYl","2022-04-30 16:46:09","2022-04-30 17:09:34","2022-04-30 17:09:34","","353","55","2","s","Etwa die Hälfte der Schüler*innen erfüllen oder übertreffen den Grundanspruch der für die achte Klasse vorgesehen ist. Die Kompetenzen der restlichen Schüler*innen liegen unter dem Grundanspruch. ","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","3","Die Schüler*innen haben sich erst stark verbessert und dann wieder verschlechtert.
Die Klasse hat bessere Ergebnisse als die Vergleichsgruppe.","Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","2","minus1","minus3","plus2","null","plus2","minus2","plus1","plus3","minus3","1","2","1","3","2, 3",""
"QjqYqsh0EfVFQG2VWfb_1g_jI-gbuzzhOsQBO0-DOkPQ6cRx0sQ6SYQhgyYwPXOZ","2022-04-30 17:07:33","2022-04-30 21:54:48","2022-04-30 21:54:48","","289","56","2","c","Die SuS bekommen pro Woche schlechtere Ergebnisse. Es gibt einige SuS die in Woche 6 noch zurückliegen aber in Woche 8 sich verbessert haben.","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","2","Die Mehrheit der Klasse liegt über dem Grundanspruch von Klasse 9. (Stufe 7 und höher).","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","1","minus1","null","null","null","plus5","plus1","plus2","plus4","minus2","1","2","1","2","1, 3","1"
"N0g6_cl2BbgHuKs7jJDzCS9A7OkN0cvEyI3I8BtANEoRLzLAQu_apMLT678yjqkR","2022-04-30 23:13:06","2022-04-30 23:31:03","2022-04-30 23:31:03","","400","57","1","s","Ein großer Teil der Schüler*innen hat nach 2 Monaten einen sichtlichen Fortschritt gemacht. Ein Teil davon nach weiteren 2 wieder Rückschritte. Dies könnte ein Zeichen dafür sein, dass der Stoff nicht 100%tig verstanden wurde sondern nur auswendig gelernt wurde.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","2","50% der Vergleichsgruppe ist über dem erwarteten Niveau ","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","1","plus2","minus3","plus4","plus1","plus3","minus4","minus1","plus3","plus1","1","1","1","1","1, 4","1"
"AUpgAlwkInQSTbTI9Peksx-yN9tKcO_TLzmPXgsQF2Tnd_vA_rh5XYCCXQf5iiLn","2022-05-01 11:19:44","2022-05-01 11:57:52","2022-05-01 11:57:52","","396","58","1","c","Dass die SuS der Klasse im Bereich der Stufen 7-9 liegen ist ein gutes Zeichen. Wenn man die Wochen 4,6 und 8 vergleicht, ist es am Anfang noch etwas zerstreuter, dann haben sich die Kenntnisse der  SuS etwas verbessert in der Woche 8 haben sich noch noch einzelne entspannt und etwas weniger geleistet. Es sieht so aus, dass diese achte Klasse in einem guten bis sehr gutem Kenntnisbereich liegt. ","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","1","Allgemein ist die Leistungsstärke der gesamtklasse von Frau Knoll  liegt im Bereich zwischen Stufe 6 und 10. Die meisten SuS sind überdurchschnittlich gut, es gibt aber einzelne die noch zu schwach sind und sogar unter dem Grundanspruch der Klasse 6 liegen. ","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","2","plus1","minus5","plus4","null","plus4","null","plus1","plus4","minus4","1","4","1","1","5",""
"uxu0_5cGUNHpGHDpAofMWW3iFNF0xN9zW3jMAAdqdC8vyrUlU73r2PqwAXl5fJw6","2022-05-01 14:02:06","","","","431","59","2","i","","","","","","","","","","","","","","","","","","","","","","",""
"p-MfJuVGwH2HcthbLbmc1gHSLe4pJWu-aJciwp7-CqVkGPRYp0sZL33YEwHNFJ-s","2022-05-01 15:30:09","2022-05-01 15:50:41","2022-05-01 15:50:41","","305","60","2","s","Die schwächeren SuS wurden mehr gefördert als die stärkeren.
Die meisten SuS befinden sich bei Woche 8 auf den Stufen 6 und 8, während in den Wochen zuvor die Verteilung deutlich größer war.","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","2","Die schwächeren SuS werden stark gefördert, das Niveau der stärkeren SuS sinkt kaum ab.
Die meisten SuS erreichen Stufe 8 und höher, was den Grundanspruch der Klasse 9 übersteigt.","Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","3","minus1","minus3","plus2","null","plus3","minus2","plus1","plus3","minus3","1","2","2","2","1, 2","2"
"jMB6ovMR_zhX-vs28poDSVfSyLonHrOVdbDwUVT5Qf8Qdizwswp33aVWlKR3SFzg","2022-05-01 15:33:05","2022-05-01 15:47:32","2022-05-01 15:47:32","","314","61","2","i","Es zeigt sich deutlich, dass sich im vergleich zur 4 Woche in der 8Woche die meisten Schüler verbessert haben. Die Verteilung auf die stufen nimmt immer weiter ab. Es gibt am Ende keine Schüler die deutlich besser sind als andere, 2 Schüler sind sogar schlechter geworden.","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","3","Die Schüler die sich anfangs sehr stark verbessert haben sind danach meistens wieder abgesunken. Schüler die anfangs eine sehr hohe Kompetenzstufe hatten, sind in der 8 Woche meist deutlich schlechter als am Anfang.","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","1","minus2","null","minus1","null","plus3","plus1","plus2","null","minus2","2","","","","",""
"lxehEAq7IiT0A_YDHD1QsuTrkbbE-X3YRx0H8FJ0xDRobCGokatlk6rgGUsFvd0j","2022-05-01 19:42:20","","","","317","62","2","c","","","","","","","","","","","","","","","","","","","","","","",""
"PH2SLLaMGKgXR6DcknZGxl2ClhofZeYxgCBkkV_F2iV2nmkNvDWnm6W1b_ztWFcV","2022-05-01 20:20:59","","","","410","63","2","s","","","","","","","","","","","","","","","","","","","","","","",""
"OlVrVv3N1WESytZadUu8O_65-KzxhEqNFG0Hr9M6MhDgkUudwWSXZYtLIbWzQ1mN","2022-05-01 20:25:19","2022-05-01 20:31:49","2022-05-01 20:31:49","","410","64","2","c","Die Klasse hat sich miteinander verbessert. Das Lernpensum hat sich angepasst.","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","3","Manche SuS haben sich verbessert oder verschlechtert, ein gewisses Niveau wurde jedoch erreicht.","Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","2","minus3","null","minus1","null","plus3","plus4","plus3","plus1","minus3","2","","","","",""
"PWLHAgClSWmwmb37rjysYCVNp_OsmuhKBPAt0eN3rjfqFibfdUzFbQq2fey52n4K","2022-05-02 10:12:02","","","","355","65","2","c","","","","","","","","","","","","","","","","","","","","","","",""
